comment_sentiment_type,comment_sentiment_name,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_sentiment_ratio,overall_ratio
positive,好评,整体观感,好看推荐,406,3145.8045,2177.81,0.1702,0.0588
positive,好评,剧情内容,结尾震撼,276,2171.1568,2224.01,0.1157,0.04
neutral,一般,整体观感,好看推荐,500,2009.9428,132.14,0.2184,0.0724
positive,好评,整体观感,经典神作,259,1895.3786,1792.71,0.1086,0.0375
negative,差评,整体观感,好看推荐,444,1561.8848,60.75,0.1991,0.0643
positive,好评,剧情内容,剧情精彩,162,1254.0806,1934.41,0.0679,0.0235
neutral,一般,剧情内容,剧情精彩,200,844.5666,174.5,0.0874,0.029
positive,好评,主题价值,人生意义,95,776.3253,2649.39,0.0398,0.0138
neutral,一般,整体观感,经典神作,177,772.6329,143.55,0.0773,0.0256
negative,差评,剧情内容,剧情精彩,194,750.6252,64.6,0.087,0.0281
positive,好评,人物关系,爱情关系,88,736.8707,3500.6,0.0369,0.0127
negative,差评,整体观感,失望难看,188,706.5612,45.6,0.0843,0.0272
neutral,一般,剧情内容,结尾震撼,162,656.7058,107.3,0.0708,0.0235
negative,差评,整体观感,经典神作,148,601.3908,80.97,0.0664,0.0214
positive,好评,情绪共鸣,感动,68,559.2504,3681.26,0.0285,0.0098
neutral,一般,整体观感,一般还行,140,540.8946,211.44,0.0612,0.0203
negative,差评,剧情内容,结尾震撼,117,457.3562,96.48,0.0525,0.0169
positive,好评,整体观感,一般还行,54,424.5339,2097.69,0.0226,0.0078
positive,好评,人物表演,角色鲜明,54,417.0312,2090.13,0.0226,0.0078
positive,好评,主题价值,自由希望,54,415.6766,2133.28,0.0226,0.0078
positive,好评,整体观感,失望难看,45,373.2166,3847.6,0.0189,0.0065
neutral,一般,整体观感,失望难看,78,345.3678,109.65,0.0341,0.0113
positive,好评,导演叙事,导演能力强,41,329.5062,2220.17,0.0172,0.0059
positive,好评,剧情内容,剧情反转,41,325.1631,2708.83,0.0172,0.0059
positive,好评,人物表演,演员加分,39,313.7509,2638.72,0.0164,0.0056
negative,差评,整体观感,一般还行,88,299.5885,36.33,0.0395,0.0127
negative,差评,人物表演,角色鲜明,74,296.2508,77.74,0.0332,0.0107
positive,好评,剧情内容,剧情完整,37,295.8488,2167.05,0.0155,0.0054
positive,好评,节奏体验,节奏平淡,36,278.7955,2289.22,0.0151,0.0052
positive,好评,人物关系,家庭亲情,33,276.9088,3394.33,0.0138,0.0048
negative,差评,剧情内容,剧情无聊,95,273.3247,20.36,0.0426,0.0138
positive,好评,主题价值,人性思考,36,272.929,2277.44,0.0151,0.0052
positive,好评,主题价值,时代命运,31,253.7487,2300.74,0.013,0.0045
positive,好评,类型题材,科幻设定,29,238.0026,3992.28,0.0122,0.0042
positive,好评,情怀记忆,怀旧情怀,27,229.8025,4494.56,0.0113,0.0039
neutral,一般,人物表演,角色鲜明,57,224.3033,56.56,0.0249,0.0083
positive,好评,类型题材,动画题材,27,209.6783,2198.74,0.0113,0.0039
positive,好评,情绪共鸣,治愈,26,203.6957,1578.5,0.0109,0.0038
positive,好评,画面声音,配乐优秀,25,200.1817,3845.84,0.0105,0.0036
positive,好评,类型题材,爱情题材,24,197.5659,3865.25,0.0101,0.0035
neutral,一般,整体观感,无感不喜欢,50,193.8147,63.54,0.0218,0.0072
positive,好评,类型题材,原著改编,24,191.3085,3599.42,0.0101,0.0035
