primary_genre,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_genre_ratio
剧情,整体观感,好看推荐,1044,5287.398,777.5,0.1898
剧情,剧情内容,结尾震撼,479,2873.7287,1252.66,0.0871
剧情,整体观感,经典神作,457,2583.3474,915.17,0.0831
剧情,剧情内容,剧情精彩,427,2205.8424,682.09,0.0776
剧情,整体观感,失望难看,235,1084.2008,567.72,0.0427
剧情,整体观感,一般还行,232,1043.5519,516.11,0.0422
剧情,主题价值,人生意义,132,894.6847,1899.38,0.024
剧情,人物关系,爱情关系,121,823.9718,2420.52,0.022
剧情,人物表演,角色鲜明,144,738.4537,675.19,0.0262
剧情,情绪共鸣,感动,95,594.8377,1623.98,0.0173
剧情,主题价值,自由希望,91,552.4998,1243.35,0.0165
剧情,剧情内容,剧情反转,107,530.7986,823.04,0.0195
剧情,人物表演,演员加分,88,504.3006,1150.11,0.016
剧情,导演叙事,导演能力强,83,471.0614,1033.23,0.0151
剧情,剧情内容,剧情无聊,124,440.4147,95.37,0.0225
剧情,剧情内容,剧情完整,65,404.1182,1216.51,0.0118
剧情,节奏体验,节奏平淡,71,385.1826,1095.35,0.0129
剧情,主题价值,现实社会,69,358.5116,900.64,0.0125
剧情,主题价值,时代命运,67,338.232,823.1,0.0122
剧情,人物关系,家庭亲情,49,328.0497,2299.37,0.0089
剧情,导演叙事,表达晦涩,63,299.6847,919.52,0.0115
剧情,主题价值,人性思考,56,296.1392,1298.36,0.0102
剧情,导演叙事,镜头语言好,50,292.547,1145.42,0.0091
剧情,人物表演,演技好,53,291.8408,885.06,0.0096
剧情,情绪共鸣,治愈,47,278.2946,847.98,0.0085
剧情,整体观感,无感不喜欢,73,266.3342,71.21,0.0133
剧情,类型题材,原著改编,41,238.4866,2181.54,0.0075
剧情,情怀记忆,怀旧情怀,34,220.8277,3223.26,0.0062
剧情,剧情内容,剧情老套,48,214.0251,198.44,0.0087
剧情,人物关系,人物命运,31,207.6004,1829.58,0.0056
剧情,类型题材,爱情题材,34,205.3279,2391.26,0.0062
剧情,画面声音,配乐优秀,40,202.9462,709.52,0.0073
剧情,情怀记忆,个人经历共鸣,30,201.2368,2938.5,0.0055
剧情,整体观感,期待落差,46,197.4231,525.8,0.0084
剧情,剧情内容,逻辑问题,43,188.9758,379.93,0.0078
剧情,类型题材,科幻设定,26,185.1859,4084.88,0.0047
剧情,导演叙事,叙事优秀,30,155.0152,1031.13,0.0055
剧情,画面声音,画面优秀,33,150.4533,408.52,0.006
剧情,文化背景,中国语境,24,143.3414,1334.5,0.0044
剧情,情绪共鸣,压抑,27,136.0704,559.59,0.0049
剧情,类型题材,战争历史,27,135.9775,538.96,0.0049
剧情,剧情内容,剧情理想化,24,133.6886,1053.42,0.0044
剧情,节奏体验,观看疲劳,36,133.5056,304.69,0.0065
剧情,类型题材,喜剧效果,31,132.7411,602.29,0.0056
剧情,情怀记忆,多年重看,26,131.9277,608.12,0.0047
剧情,文化背景,美国语境,24,114.2175,534.71,0.0044
剧情,人物关系,友情关系,16,114.0759,2708.62,0.0029
剧情,类型题材,动画题材,26,109.1999,672.77,0.0047
剧情,人物表演,表演尴尬,23,108.1664,912.83,0.0042
剧情,文化背景,历史文化,22,102.6524,327.0,0.004
剧情,类型题材,犯罪悬疑,19,98.5299,1501.21,0.0035
剧情,人物表演,台词经典,18,97.8616,1323.44,0.0033
剧情,导演叙事,表达说教,21,91.9072,651.24,0.0038
剧情,节奏体验,时长过长,18,90.2178,866.22,0.0033
剧情,人物关系,性别表达,14,82.0716,829.14,0.0025
剧情,情怀记忆,童年回忆,15,63.7275,2219.33,0.0027
剧情,情绪共鸣,震撼,8,54.2202,1391.62,0.0015
剧情,主题价值,价值观争议,15,53.082,137.47,0.0027
剧情,情绪共鸣,热血,8,51.9656,3062.38,0.0015
剧情,文化背景,社会群体,7,47.0884,2281.71,0.0013
剧情,观看体验,补标记录,16,45.8595,166.56,0.0029
剧情,观看体验,影院体验,8,45.814,3074.75,0.0015
剧情,节奏体验,节奏拖沓,20,43.7631,6.2,0.0036
剧情,争议感受,过誉,10,43.267,317.8,0.0018
剧情,画面声音,特效优秀,8,33.8885,703.5,0.0015
剧情,导演叙事,剪辑出色,6,28.8599,339.67,0.0011
剧情,文化背景,日本语境,5,23.182,231.8,0.0009
剧情,画面声音,氛围感强,4,19.7812,174.25,0.0007
剧情,争议感受,难以理解,5,17.3558,39.0,0.0009
剧情,人物表演,人物单薄,2,12.8012,488.5,0.0004
剧情,画面声音,画面一般,5,12.6132,4.0,0.0009
剧情,观看体验,观看门槛,2,9.7253,378.0,0.0004
剧情,节奏体验,节奏紧凑,1,9.1542,3477.0,0.0002
剧情,观看体验,重复观看,2,8.7429,423.5,0.0004
动作,整体观感,好看推荐,17,60.3535,102.82,0.2656
动作,剧情内容,剧情精彩,6,36.5034,905.67,0.0938
动作,整体观感,经典神作,6,19.1791,37.5,0.0938
