movie_name,primary_genre,comment_sentiment_type,comment_sentiment_name,keyword,keyword_count,weighted_score,avg_like_count
海豚湾 The Cove,纪录片,positive,好评,海豚,13,88.5805,566.85
大闹天宫,剧情,positive,好评,动画,13,87.4827,853.77
星际穿越 Interstellar,剧情,positive,好评,诺兰,10,86.6649,2971.1
哈尔的移动城堡 ハウルの動く城,爱情,positive,好评,宫崎骏,10,85.5004,4208.3
让子弹飞,剧情,positive,好评,姜文,10,83.8006,3361.8
音乐之声 The Sound of Music,剧情,positive,好评,音乐,13,82.6384,366.62
蝙蝠侠：黑暗骑士 The Dark Knight,剧情,positive,好评,诺兰,10,80.6805,4076.6
龙猫 となりのトトロ,动画,positive,好评,龙猫,11,80.4509,1159.55
阿甘正传 Forrest Gump,剧情,positive,好评,阿甘,9,73.7525,2365.56
让子弹飞,剧情,neutral,一般,姜文,12,72.4721,362.42
哈尔的移动城堡 ハウルの動く城,爱情,positive,好评,哈尔,8,72.4068,4678.62
饮食男女 飲食男女,剧情,positive,好评,李安,8,69.7577,2938.25
寻梦环游记 Coco,动画,positive,好评,皮克斯,8,69.0155,3285.88
楚门的世界 The Truman Show,剧情,positive,好评,楚门,8,68.7137,3376.0
摩登时代 Modern Times,剧情,positive,好评,卓别林,11,68.6493,559.18
少年派的奇幻漂流 Life of Pi,剧情,positive,好评,3D,9,66.9622,933.11
无间道 無間道,剧情,positive,好评,梁朝伟,7,65.0751,5969.29
还有明天 C'è ancora domani,剧情,positive,好评,家暴,7,64.8736,5746.29
当幸福来敲门 The Pursuit of Happyness,剧情,positive,好评,励志,9,64.4285,1598.89
蝙蝠侠：黑暗骑士 The Dark Knight,剧情,positive,好评,蝙蝠侠,7,63.7483,7191.14
罗马假日 Roman Holiday,剧情,positive,好评,赫本,9,63.2952,735.33
末代皇帝 The Last Emperor,剧情,positive,好评,溥仪,7,60.8189,3197.86
看不见的客人 Contratiempo,剧情,positive,好评,反转,7,60.2903,4532.43
活着,剧情,positive,好评,活着,7,59.946,3063.0
我不是药神,剧情,positive,好评,王传君,7,59.6625,8933.43
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,动作,positive,好评,杰克,10,59.3896,373.4
鬼子来了,剧情,positive,好评,姜文,7,58.7585,1922.86
海蒂和爷爷 Heidi,剧情,positive,好评,海蒂,7,58.3062,2685.71
