movie_name,rating_score,rating_count,release_year,release_decade,genres,primary_genre,review_count,avg_like_count,total_like_count,top_aspects,top_reasons
肖申克的救赎 The Shawshank Redemption,9.7,3299005.0,1994,1990s,"剧情,犯罪",剧情,69,1895.99,130823,整体观感 / 主题价值 / 剧情内容,好看推荐 / 自由希望 / 经典神作
霸王别姬,9.6,2434449.0,1993,1990s,"剧情,爱情,同性",剧情,70,1673.16,117121,整体观感 / 人物表演 / 剧情内容,好看推荐 / 失望难看 / 经典神作
控方证人 Witness for the Prosecution,9.6,749791.0,1957,1980年前,"剧情,悬疑,惊悚,犯罪",剧情,74,1040.72,77013,整体观感 / 剧情内容 / 人物关系,剧情反转 / 经典神作 / 好看推荐
泰坦尼克号 Titanic,9.5,2510225.0,1997,1990s,"剧情,爱情,灾难",剧情,64,1824.75,116784,整体观感 / 剧情内容 / 情绪共鸣,好看推荐 / 经典神作 / 感动
阿甘正传 Forrest Gump,9.5,2439931.0,1994,1990s,"剧情,爱情",剧情,68,859.03,58414,整体观感 / 主题价值 / 剧情内容,好看推荐 / 经典神作 / 人生意义
美丽人生 La vita è bella,9.5,1488145.0,1997,1990s,"剧情,喜剧,爱情,战争",剧情,69,1427.04,98466,整体观感 / 剧情内容 / 主题价值,好看推荐 / 经典神作 / 剧情精彩
辛德勒的名单 Schindler's List,9.5,1251919.0,1993,1990s,"剧情,历史,战争",剧情,81,895.06,72500,整体观感 / 主题价值 / 剧情内容,好看推荐 / 现实社会 / 经典神作
这个杀手不太冷 Léon,9.4,2560976.0,1994,1990s,"剧情,动作,犯罪",剧情,68,807.66,54921,整体观感 / 剧情内容 / 人物表演,好看推荐 / 剧情精彩 / 一般还行
千与千寻 千と千尋の神隠し,9.4,2548512.0,2001,2000s,"剧情,动画,奇幻",剧情,66,1320.61,87160,整体观感 / 剧情内容 / 类型题材,好看推荐 / 动画题材 / 经典神作
盗梦空间 Inception,9.4,2335039.0,2010,2010s,"剧情,科幻,悬疑,冒险",剧情,57,1557.12,88756,整体观感 / 剧情内容 / 导演叙事,好看推荐 / 经典神作 / 结尾震撼
星际穿越 Interstellar,9.4,2196787.0,2014,2010s,"剧情,科幻,冒险",剧情,80,2065.02,165202,整体观感 / 剧情内容 / 导演叙事,好看推荐 / 经典神作 / 失望难看
楚门的世界 The Truman Show,9.4,2030110.0,1998,1990s,"剧情,科幻",剧情,56,1485.11,83166,整体观感 / 剧情内容 / 主题价值,好看推荐 / 结尾震撼 / 剧情精彩
忠犬八公的故事 Hachi: A Dog's Tale,9.4,1549074.0,2009,2000s,剧情,剧情,67,911.69,61083,整体观感 / 剧情内容 / 情绪共鸣,好看推荐 / 剧情精彩 / 感动
十二怒汉 12 Angry Men,9.4,582609.0,1957,1980年前,剧情,剧情,64,549.42,35163,整体观感 / 剧情内容 / 主题价值,好看推荐 / 经典神作 / 剧情精彩
大闹天宫,9.4,513107.0,1961,1980年前,"剧情,动画,奇幻,古装",剧情,58,360.02,20881,整体观感 / 类型题材 / 情怀记忆,动画题材 / 经典神作 / 好看推荐
疯狂动物城 Zootopia,9.3,2332754.0,2016,2010s,"喜剧,动画,冒险",动画,75,1153.87,86540,整体观感 / 剧情内容 / 文化背景,好看推荐 / 剧情精彩 / 一般还行
海上钢琴师 La leggenda del pianista sull'oceano,9.3,1886920.0,1998,1990s,"剧情,音乐",剧情,75,990.13,74260,整体观感 / 剧情内容 / 主题价值,好看推荐 / 经典神作 / 剧情精彩
无间道 無間道,9.3,1572985.0,2002,2000s,"剧情,惊悚,犯罪",剧情,66,1628.71,107495,整体观感 / 剧情内容 / 人物表演,好看推荐 / 经典神作 / 逻辑问题
机器人总动员 WALL·E,9.3,1500821.0,2008,2000s,"科幻,动画,冒险",动画,66,850.89,56159,整体观感 / 类型题材 / 剧情内容,好看推荐 / 科幻设定 / 剧情精彩
放牛班的春天 Les choristes,9.3,1479966.0,2004,2000s,"剧情,音乐",剧情,67,505.13,33844,整体观感 / 剧情内容 / 画面声音,好看推荐 / 配乐优秀 / 一般还行
触不可及 Intouchables,9.3,1302313.0,2011,2010s,"剧情,喜剧",剧情,76,697.82,53034,整体观感 / 剧情内容 / 主题价值,好看推荐 / 剧情精彩 / 感动
教父 The Godfather,9.3,1113078.0,1972,1980年前,"剧情,犯罪",剧情,75,712.99,53474,整体观感 / 剧情内容 / 主题价值,好看推荐 / 经典神作 / 结尾震撼
熔炉 도가니,9.3,1039811.0,2011,2010s,剧情,剧情,68,1161.15,78958,整体观感 / 主题价值 / 剧情内容,好看推荐 / 剧情精彩 / 现实社会
末代皇帝 The Last Emperor,9.3,1034340.0,1987,1980s,"剧情,传记,历史",剧情,73,1152.7,84147,整体观感 / 主题价值 / 剧情内容,好看推荐 / 时代命运 / 失望难看
活着,9.3,975526.0,1994,1990s,"剧情,家庭,历史",剧情,70,644.31,45102,整体观感 / 主题价值 / 剧情内容,好看推荐 / 原著改编 / 结尾震撼
指环王3：王者无敌 The Lord of the Rings: The Return of the King,9.3,915087.0,2003,2000s,"剧情,动作,奇幻,冒险",剧情,58,673.22,39047,整体观感 / 剧情内容 / 节奏体验,好看推荐 / 经典神作 / 结尾震撼
乱世佳人 Gone with the Wind,9.3,800541.0,1939,1980年前,"剧情,爱情,历史,战争",剧情,70,911.43,63800,整体观感 / 剧情内容 / 人物表演,好看推荐 / 经典神作 / 爱情关系
海蒂和爷爷 Heidi,9.3,789520.0,2015,2010s,"剧情,家庭,冒险",剧情,66,826.27,54534,整体观感 / 剧情内容 / 人物表演,好看推荐 / 剧情精彩 / 结尾震撼
素媛 소원,9.3,780135.0,2013,2010s,剧情,剧情,69,656.49,45298,剧情内容 / 整体观感 / 主题价值,好看推荐 / 结尾震撼 / 剧情精彩
钢琴家 The Pianist,9.3,754284.0,2002,2000s,"剧情,音乐,传记,战争",剧情,65,436.38,28365,整体观感 / 剧情内容 / 类型题材,好看推荐 / 战争历史 / 结尾震撼
鬼子来了,9.3,719177.0,2000,2000s,"剧情,喜剧",剧情,54,869.28,46941,整体观感 / 剧情内容 / 主题价值,好看推荐 / 结尾震撼 / 失望难看
教父2 The Godfather: Part II,9.3,644343.0,1974,1980年前,"剧情,犯罪",剧情,64,265.06,16964,整体观感 / 剧情内容 / 导演叙事,经典神作 / 好看推荐 / 一般还行
海豚湾 The Cove,9.3,383863.0,2009,2000s,纪录片,纪录片,63,330.79,20840,整体观感 / 剧情内容 / 主题价值,好看推荐 / 一般还行 / 人性思考
还有明天 C'è ancora domani,9.3,380359.0,2023,2020s,"剧情,喜剧,历史",剧情,82,2843.0,233126,剧情内容 / 整体观感 / 导演叙事,结尾震撼 / 好看推荐 / 剧情反转
摩登时代 Modern Times,9.3,349738.0,1936,1980年前,"剧情,喜剧,爱情",剧情,66,144.61,9544,整体观感 / 剧情内容 / 主题价值,经典神作 / 好看推荐 / 结尾震撼
三傻大闹宝莱坞 3 Idiots,9.2,2086770.0,2009,2000s,"剧情,喜剧,爱情,歌舞",剧情,70,588.41,41189,整体观感 / 剧情内容 / 主题价值,好看推荐 / 剧情精彩 / 一般还行
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,1716221.0,1995,1990s,"喜剧,爱情,奇幻,古装",爱情,79,1071.86,84677,整体观感 / 主题价值 / 情怀记忆,经典神作 / 好看推荐 / 失望难看
