review_year,main_aspect,review_count,weighted_score,avg_like_count,year_ratio
2005,主题价值,5,41.7792,2112.2,0.1429
2005,观看体验,2,11.4075,2030.5,0.0571
2005,画面声音,2,14.1075,485.5,0.0571
2005,整体观感,10,87.305,5118.8,0.2857
2005,情绪共鸣,1,5.92,136.0,0.0286
2005,类型题材,3,16.0661,328.33,0.0857
2005,剧情内容,4,33.2106,1776.0,0.1143
2005,人物表演,3,24.7588,1560.33,0.0857
2005,人物关系,3,27.7897,4959.67,0.0857
2005,情怀记忆,2,16.2224,1362.5,0.0571
2006,整体观感,52,352.9972,1987.12,0.3355
2006,观看体验,1,1.0,0.0,0.0065
2006,节奏体验,4,14.2441,879.25,0.0258
2006,类型题材,10,89.6791,4701.3,0.0645
2006,画面声音,6,54.8436,4950.67,0.0387
2006,文化背景,4,27.5612,493.0,0.0258
2006,情绪共鸣,10,86.8209,2739.8,0.0645
2006,剧情内容,22,161.4928,2339.73,0.1419
2006,导演叙事,10,77.3394,1619.1,0.0645
2006,人物表演,2,16.9411,1764.0,0.0129
2006,人物关系,11,98.9668,4916.0,0.071
2006,争议感受,1,2.9459,6.0,0.0065
2006,主题价值,16,138.8617,4130.62,0.1032
2006,情怀记忆,6,35.8317,2434.33,0.0387
2007,整体观感,69,413.5514,1640.01,0.4012
2007,观看体验,1,8.3576,1567.0,0.0058
2007,类型题材,14,101.162,4537.5,0.0814
2007,画面声音,2,8.7007,406.0,0.0116
2007,文化背景,2,19.2943,6806.0,0.0116
2007,情绪共鸣,6,40.5451,3175.5,0.0349
2007,节奏体验,2,10.6559,2871.5,0.0116
2007,导演叙事,10,71.3619,1905.5,0.0581
2007,剧情内容,32,226.8271,3058.09,0.186
2007,人物表演,6,37.1776,567.5,0.0349
2007,人物关系,14,114.1236,2950.36,0.0814
2007,情怀记忆,6,55.3482,5888.5,0.0349
2007,主题价值,8,61.8147,2546.38,0.0465
2008,观看体验,2,16.1256,1279.5,0.0066
2008,节奏体验,7,30.5641,906.43,0.023
2008,类型题材,17,101.7548,3195.12,0.0557
2008,画面声音,7,32.2235,372.0,0.023
2008,文化背景,5,30.3552,1096.0,0.0164
2008,整体观感,120,696.4442,1405.04,0.3934
2008,情绪共鸣,12,99.5128,2922.83,0.0393
2008,导演叙事,13,69.7841,1096.69,0.0426
2008,剧情内容,50,316.571,1446.28,0.1639
2008,人物表演,7,41.5187,2411.0,0.023
2008,人物关系,22,165.9708,3562.14,0.0721
2008,争议感受,1,8.9902,2951.0,0.0033
2008,主题价值,30,192.9683,3314.27,0.0984
2008,情怀记忆,12,62.0308,2459.42,0.0393
2009,整体观感,96,492.3412,1210.2,0.331
2009,观看体验,5,11.9921,9.8,0.0172
2009,节奏体验,10,34.1209,464.8,0.0345
2009,类型题材,21,124.3363,1491.86,0.0724
2009,画面声音,5,36.4,710.4,0.0172
2009,文化背景,7,46.8388,1902.0,0.0241
2009,情绪共鸣,15,104.2374,1476.73,0.0517
2009,主题价值,20,138.0555,2403.35,0.069
2009,导演叙事,10,46.109,540.5,0.0345
2009,剧情内容,63,385.1236,1528.89,0.2172
2009,人物表演,13,73.2222,823.08,0.0448
2009,人物关系,15,100.3851,1729.33,0.0517
2009,争议感受,1,4.3322,27.0,0.0034
2009,情怀记忆,9,41.2112,1438.44,0.031
2010,整体观感,253,1302.9461,1144.9,0.4081
2010,观看体验,7,11.2484,5.0,0.0113
2010,节奏体验,20,77.1913,338.6,0.0323
2010,类型题材,42,204.7666,1246.69,0.0677
2010,画面声音,8,36.8916,594.25,0.0129
2010,文化背景,10,35.9761,63.8,0.0161
2010,情绪共鸣,25,158.2768,1473.28,0.0403
2010,人物表演,30,143.5045,801.73,0.0484
2010,导演叙事,18,107.3792,1400.33,0.029
2010,剧情内容,122,629.3287,954.66,0.1968
2010,情怀记忆,14,66.6425,2105.64,0.0226
2010,人物关系,22,149.2222,3097.05,0.0355
2010,争议感受,3,6.4657,3.33,0.0048
2010,主题价值,46,299.1178,2253.98,0.0742
2011,观看体验,1,2.0986,2.0,0.0019
2011,节奏体验,19,75.5663,673.53,0.037
2011,类型题材,31,124.0447,314.94,0.0603
2011,画面声音,6,25.7918,1078.33,0.0117
2011,文化背景,11,36.0571,642.55,0.0214
2011,整体观感,186,809.4524,506.35,0.3619
2011,情绪共鸣,17,73.092,1660.94,0.0331
2011,情怀记忆,24,133.4808,1926.62,0.0467
2011,导演叙事,25,105.734,391.08,0.0486
2011,剧情内容,114,553.0202,806.94,0.2218
2011,人物表演,27,144.1684,1927.67,0.0525
2011,人物关系,28,147.5994,1548.36,0.0545
2011,主题价值,25,133.3811,1065.48,0.0486
2012,观看体验,3,13.3789,5362.67,0.0052
2012,类型题材,28,140.0,528.71,0.0483
2012,画面声音,20,96.4884,710.9,0.0345
2012,文化背景,8,34.3829,143.0,0.0138
2012,整体观感,213,1050.1239,777.08,0.3672
2012,情绪共鸣,21,100.6037,860.52,0.0362
2012,节奏体验,17,101.7414,2559.06,0.0293
2012,导演叙事,28,174.8945,1789.25,0.0483
2012,剧情内容,133,738.1451,1339.41,0.2293
2012,人物表演,33,188.402,1340.0,0.0569
