movie_name,comment_sentiment_type,comment_sentiment_name,aspect_name,reason_name,review_count,total_like_count,weighted_score,total_reason_mentions,reason_ratio
一一,negative,差评,主题价值,现实社会,3,50,10.6554,6,0.5
一一,negative,差评,主题价值,人生意义,2,88,9.3402,6,0.3333
一一,negative,差评,主题价值,人性思考,1,3,2.3863,6,0.1667
一一,negative,差评,争议感受,过誉,2,70,9.0273,3,0.6667
一一,negative,差评,争议感受,审美不合,1,129,5.8675,3,0.3333
一一,negative,差评,人物关系,爱情关系,5,187,21.1,11,0.4545
一一,negative,差评,人物关系,性别表达,3,70,12.197,11,0.2727
一一,negative,差评,人物关系,人物命运,2,40,8.0799,11,0.1818
一一,negative,差评,人物关系,家庭亲情,1,3,2.3863,11,0.0909
一一,negative,差评,人物表演,角色鲜明,5,300,23.0397,14,0.3571
一一,negative,差评,人物表演,台词经典,4,214,17.7113,14,0.2857
一一,negative,差评,人物表演,演技好,2,154,8.4102,14,0.1429
一一,negative,差评,人物表演,演员加分,2,32,7.6525,14,0.1429
一一,negative,差评,人物表演,表演尴尬,1,18,3.9444,14,0.0714
一一,negative,差评,剧情内容,剧情无聊,4,376,21.7149,13,0.3077
一一,negative,差评,剧情内容,剧情精彩,4,157,17.1864,13,0.3077
一一,negative,差评,剧情内容,结尾震撼,3,91,11.7265,13,0.2308
一一,negative,差评,剧情内容,剧情老套,1,151,6.0239,13,0.0769
一一,negative,差评,剧情内容,剧情完整,1,14,3.7081,13,0.0769
一一,negative,差评,导演叙事,表达晦涩,4,164,18.4662,9,0.4444
一一,negative,差评,导演叙事,导演能力强,2,108,9.4553,9,0.2222
一一,negative,差评,导演叙事,镜头语言好,2,48,8.0615,9,0.2222
一一,negative,差评,导演叙事,表达说教,1,3,2.3863,9,0.1111
一一,negative,差评,情绪共鸣,热血,1,151,6.0239,1,1.0
一一,negative,差评,整体观感,好看推荐,7,351,33.0065,13,0.5385
一一,negative,差评,整体观感,期待落差,2,70,9.0273,13,0.1538
一一,negative,差评,整体观感,一般还行,2,49,7.8406,13,0.1538
一一,negative,差评,整体观感,无感不喜欢,1,129,5.8675,13,0.0769
一一,negative,差评,整体观感,失望难看,1,39,4.6889,13,0.0769
一一,negative,差评,文化背景,中国语境,5,309,21.0369,8,0.625
一一,negative,差评,文化背景,日本语境,1,50,4.9318,8,0.125
一一,negative,差评,文化背景,美国语境,1,15,3.7726,8,0.125
一一,negative,差评,文化背景,社会群体,1,3,2.3863,8,0.125
一一,negative,差评,画面声音,画面一般,1,39,4.6889,1,1.0
一一,negative,差评,类型题材,爱情题材,1,3,2.3863,1,1.0
一一,negative,差评,节奏体验,观看疲劳,2,209,10.8852,5,0.4
一一,negative,差评,节奏体验,时长过长,2,170,8.5103,5,0.4
一一,negative,差评,节奏体验,节奏拖沓,1,20,4.0445,5,0.2
一一,negative,差评,观看体验,补标记录,1,15,3.7726,1,1.0
一一,neutral,一般,主题价值,人生意义,12,1477,57.2387,21,0.5714
一一,neutral,一般,主题价值,现实社会,4,237,17.8696,21,0.1905
一一,neutral,一般,主题价值,人性思考,2,78,9.2991,21,0.0952
一一,neutral,一般,主题价值,时代命运,2,78,9.2991,21,0.0952
一一,neutral,一般,主题价值,价值观争议,1,26,4.2958,21,0.0476
一一,neutral,一般,争议感受,审美不合,3,911,16.0606,6,0.5
一一,neutral,一般,争议感受,难以理解,2,64,8.7945,6,0.3333
一一,neutral,一般,争议感受,过誉,1,180,6.1985,6,0.1667
一一,neutral,一般,人物关系,人物命运,10,1399,47.9396,33,0.303
一一,neutral,一般,人物关系,家庭亲情,9,1241,43.1559,33,0.2727
一一,neutral,一般,人物关系,爱情关系,7,1156,33.7188,33,0.2121
一一,neutral,一般,人物关系,性别表达,5,260,21.2152,33,0.1515
一一,neutral,一般,人物关系,友情关系,2,74,9.2174,33,0.0606
一一,neutral,一般,人物表演,角色鲜明,5,137,20.824,12,0.4167
一一,neutral,一般,人物表演,台词经典,4,119,16.4061,12,0.3333
一一,neutral,一般,人物表演,演技好,1,10,3.3979,12,0.0833
一一,neutral,一般,人物表演,演员加分,1,8,3.1972,12,0.0833
一一,neutral,一般,人物表演,表演尴尬,1,8,3.1972,12,0.0833
一一,neutral,一般,剧情内容,剧情精彩,7,302,28.8495,16,0.4375
一一,neutral,一般,剧情内容,剧情无聊,3,84,12.4248,16,0.1875
一一,neutral,一般,剧情内容,结尾震撼,2,111,9.9903,16,0.125
一一,neutral,一般,剧情内容,逻辑问题,2,18,6.5951,16,0.125
一一,neutral,一般,剧情内容,剧情反转,1,50,4.9318,16,0.0625
一一,neutral,一般,剧情内容,剧情老套,1,46,4.8501,16,0.0625
一一,neutral,一般,导演叙事,导演能力强,9,1285,44.0907,25,0.36
