keyword,count
世界,80
知道,65
...,64
为什么,62
这样,54
the,51
怎么,50
永远,47
现在,42
不要,41
男人,40
一样,40
完全,40
中国,39
美国,39
生活,38
of,36
女人,35
只有,35
为了,34
看过,34
东西,34
明白,31
不会,31
一直,30
孩子,30
所有,30
无法,30
应该,29
那些,28
印象,28
you,27
如此,27
is,26
不如,26
出来,26
不过,26
理解,26
作品,25
时间,24
别人,24
原来,24
需要,24
可爱,24
爱情,23
不了,23
有些,23
最好,23
记得,23
动画,23
这是,22
居然,22
恶心,22
影片,22
宫崎骏,22
开始,22
终于,21
it,21
两个,21
一切,21
题材,21
以为,20
评分,20
一次,20
in,20
日本,20
之后,20
小时,20
and,19
完美,19
问题,19
欣赏,19
实在,18
评价,18
这片,18
一点,18
犹太人,18
多少,18
搞笑,18
原著,18
to,17
一生,17
真正,17
里面,17
回忆,17
后来,17
十年,17
相信,17
讨厌,17
工作,17
每个,17
好像,17
以后,17
除了,17
只能,17
老师,17
人类,17
告诉,17
那样,16
才能,16
诺兰,16
唯一,16
not,16
有人,16
简直,16
我們,16
如何,15
发现,15
观众,15
努力,15
地方,15
奥斯卡,15
成功,15
美丽,15
哪里,15
也许,15
朋友,15
电影院,15
总是,15
来说,15
对于,15
系列,15
海豚,15
没什么,14
重要,14
所谓,14
失去,14
可惜,14
意思,14
而且,14
一定,14
魔法,14
爸爸,14
喜剧,14
高分,14
一些,14
想要,14
男性,14
本片,14
電影,14
年轻,14
表演,14
深刻,14
改变,14
结果,14
的话,14
这里,14
周星驰,14
各种,14
是不是,13
最大,13
剧本,13
好莱坞,13
精神,13
父亲,13
多年,13
一星,13
变成,13
离开,13
再也,13
..,13
不想,13
大概,13
容易,13
想象力,13
文艺,13
之前,13
for,12
政治,12
一起,12
my,12
心里,12
感冒,12
动画片,12
不到,12
大家,12
细节,12
证明,12
一天,12
感情,12
煽情,12
小说,12
家庭,12
童年,12
哈利波,12
到底,12
分钟,12
意淫,12
but,11
当年,11
小孩,11
感人,11
一遍,11
成为,11
励志,11
过程,11
事情,11
竟然,11
个人,11
一下,11
