id,keyword,hot_score,url,crawl_date
1,习近平同通伦举行会谈,7904745,https://www.baidu.com/s?wd=%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%90%8C%E9%80%9A%E4%BC%A6%E4%B8%BE%E8%A1%8C%E4%BC%9A%E8%B0%88&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
2,上海男篮夺CBA总冠军,7808640,https://www.baidu.com/s?wd=%E4%B8%8A%E6%B5%B7%E7%94%B7%E7%AF%AE%E5%A4%BACBA%E6%80%BB%E5%86%A0%E5%86%9B&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
3,荷兰军舰过航台湾海峡 东部战区发声,7713448,https://www.baidu.com/s?wd=%E8%8D%B7%E5%85%B0%E5%86%9B%E8%88%B0%E8%BF%87%E8%88%AA%E5%8F%B0%E6%B9%BE%E6%B5%B7%E5%B3%A1+%E4%B8%9C%E9%83%A8%E6%88%98%E5%8C%BA%E5%8F%91%E5%A3%B0&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
4,公安机关、教育部门提醒考生诚信赴考,7617668,https://www.baidu.com/s?wd=%E5%85%AC%E5%AE%89%E6%9C%BA%E5%85%B3%E3%80%81%E6%95%99%E8%82%B2%E9%83%A8%E9%97%A8%E6%8F%90%E9%86%92%E8%80%83%E7%94%9F%E8%AF%9A%E4%BF%A1%E8%B5%B4%E8%80%83&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
5,云南一医生全家已连续3年吃菌子中毒,7520002,https://www.baidu.com/s?wd=%E4%BA%91%E5%8D%97%E4%B8%80%E5%8C%BB%E7%94%9F%E5%85%A8%E5%AE%B6%E5%B7%B2%E8%BF%9E%E7%BB%AD3%E5%B9%B4%E5%90%83%E8%8F%8C%E5%AD%90%E4%B8%AD%E6%AF%92&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
6,男子偷走百万黄金 留下半瓶可乐,7427672,https://www.baidu.com/s?wd=%E7%94%B7%E5%AD%90%E5%81%B7%E8%B5%B0%E7%99%BE%E4%B8%87%E9%BB%84%E9%87%91+%E7%95%99%E4%B8%8B%E5%8D%8A%E7%93%B6%E5%8F%AF%E4%B9%90&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
7,男子胸痛就诊离世 医院：有理去起诉,7334161,https://www.baidu.com/s?wd=%E7%94%B7%E5%AD%90%E8%83%B8%E7%97%9B%E5%B0%B1%E8%AF%8A%E7%A6%BB%E4%B8%96+%E5%8C%BB%E9%99%A2%EF%BC%9A%E6%9C%89%E7%90%86%E5%8E%BB%E8%B5%B7%E8%AF%89&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
8,中国男足2-1新加坡,7236864,https://www.baidu.com/s?wd=%E4%B8%AD%E5%9B%BD%E7%94%B7%E8%B6%B32-1%E6%96%B0%E5%8A%A0%E5%9D%A1&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
9,别忘了最后一道大题写个“解”,7138619,https://www.baidu.com/s?wd=%E5%88%AB%E5%BF%98%E4%BA%86%E6%9C%80%E5%90%8E%E4%B8%80%E9%81%93%E5%A4%A7%E9%A2%98%E5%86%99%E4%B8%AA%E2%80%9C%E8%A7%A3%E2%80%9D&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
10,豆包误判蘑菇致用户中毒 高管回应,7040481,https://www.baidu.com/s?wd=%E8%B1%86%E5%8C%85%E8%AF%AF%E5%88%A4%E8%98%91%E8%8F%87%E8%87%B4%E7%94%A8%E6%88%B7%E4%B8%AD%E6%AF%92+%E9%AB%98%E7%AE%A1%E5%9B%9E%E5%BA%94&sa=fyb_news&rsv_dl=fyb_news,2026-06-06 00:03:10
