rank_no,movie_name,director,rating_score,rating_count,release_year,country,genres,duration_minutes
1,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,9.7,3292659,1994,美国,"剧情,犯罪",142
2,霸王别姬,陈凯歌,9.6,2429816,1993,中国大陆 / 中国香港,"剧情,爱情,同性",171
3,泰坦尼克号 Titanic,詹姆斯·卡梅隆,9.5,2504968,1998,美国,"剧情,爱情,灾难",194
4,阿甘正传 Forrest Gump,罗伯特·泽米吉斯,9.5,2435782,1994,美国,"剧情,爱情",142
5,千与千寻 千と千尋の神隠し,宫崎骏,9.4,2543478,2019,日本,"剧情,动画,奇幻",125
6,美丽人生 La vita è bella,罗伯托·贝尼尼,9.5,1485618,2020,意大利,"剧情,喜剧,爱情,战争",116
7,星际穿越 Interstellar,克里斯托弗·诺兰,9.4,2191155,2014,美国 / 英国 / 加拿大,"剧情,科幻,冒险",169
8,这个杀手不太冷 Léon,吕克·贝松,9.4,2557280,2024,法国 / 美国,"剧情,动作,犯罪",133
9,盗梦空间 Inception,克里斯托弗·诺兰,9.4,2330909,2010,美国 / 英国,"剧情,科幻,悬疑,冒险",148
10,楚门的世界 The Truman Show,彼得·威尔,9.4,2025388,1998,美国,"剧情,科幻",103
11,辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯格,9.5,1249803,1993,美国,"剧情,历史,战争",195
12,忠犬八公的故事 Hachi: A Dog's Tale,拉斯·霍尔斯道姆,9.4,1546546,2009,美国 / 英国,剧情,93
13,海上钢琴师 La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,9.3,1883647,2019,意大利,"剧情,音乐",120
14,疯狂动物城 Zootopia,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",9.3,2327218,2016,美国,"喜剧,动画,冒险",109
15,三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉尼,9.2,2083223,2011,印度,"剧情,喜剧,爱情,歌舞",171
16,机器人总动员 WALL·E,安德鲁·斯坦顿,9.3,1497499,2008,美国,"科幻,动画,冒险",98
17,放牛班的春天 Les choristes,克里斯托夫·巴哈蒂,9.3,1477267,2004,法国 / 瑞士 / 德国,"剧情,音乐",97
18,无间道 無間道,"刘伟强,麦兆辉",9.3,1569673,2003,中国香港,"剧情,惊悚,犯罪",101
19,控方证人 Witness for the Prosecution,比利·怀尔德,9.6,746850,2025,美国,"剧情,悬疑,惊悚,犯罪",116
20,寻梦环游记 Coco,"李·昂克里奇,阿德里安·莫利纳",9.1,1996484,2017,美国,"喜剧,动画,音乐,奇幻",105
21,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,刘镇伟,9.2,1713412,2014,中国香港 / 中国大陆,"喜剧,爱情,奇幻,古装",95
22,熔炉 도가니,黄东赫,9.3,1038300,2011,韩国,剧情,125
23,触不可及 Intouchables,"奥利维埃·纳卡什,埃里克·托莱达诺",9.3,1299710,2011,法国,"剧情,喜剧",112
24,教父 The Godfather,弗朗西斯·福特·科波拉,9.3,1110646,1972,美国,"剧情,犯罪",175
25,末代皇帝 The Last Emperor,贝纳尔多·贝托鲁奇,9.3,1032087,1987,英国 / 意大利 / 中国大陆 / 法国,"剧情,传记,历史",163
26,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,克里斯·哥伦布,9.2,1427726,2002,美国 / 英国,"奇幻,冒险",152
27,当幸福来敲门 The Pursuit of Happyness,加布里埃莱·穆奇诺,9.1,1692232,2008,美国,"剧情,家庭,传记",117
28,龙猫 となりのトトロ,宫崎骏,9.2,1414779,2018,日本,"动画,奇幻,冒险",86
29,活着,张艺谋,9.3,973540,1994,中国大陆 / 中国香港,"剧情,家庭,历史",132
30,怦然心动 Flipped,罗伯·莱纳,9.1,2056318,2010,美国,"剧情,喜剧,爱情",90
31,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺兰,9.2,1196191,2008,美国 / 英国,"剧情,动作,科幻,惊悚,犯罪",152
32,指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克逊,9.3,913299,2004,美国 / 新西兰,"剧情,动作,奇幻,冒险",201
33,我不是药神,文牧野,9.0,2356942,2018,中国大陆,"剧情,喜剧",117
34,乱世佳人 Gone with the Wind,"维克多·弗莱明,乔治·库克,山姆·伍德",9.3,798326,1939,美国,"剧情,爱情,历史,战争",233
35,让子弹飞,姜文,9.0,1925535,2010,中国大陆 / 中国香港,"剧情,喜剧,动作,西部",132
36,飞屋环游记 Up,"彼特·道格特,鲍勃·彼德森",9.1,1505265,2009,美国,"剧情,喜剧,动画,冒险",96
37,哈尔的移动城堡 ハウルの動く城,宫崎骏,9.1,1296339,2024,日本,"爱情,动画,奇幻,冒险",119
38,十二怒汉 12 Angry Men,西德尼·吕美特,9.4,581219,1957,美国,剧情,96
39,海蒂和爷爷 Heidi,阿兰·葛斯彭纳,9.3,786564,2019,德国 / 瑞士,"剧情,家庭,冒险",111
40,素媛 소원,李濬益,9.3,778623,2013,韩国,剧情,122
41,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯格,9.1,1215658,2003,美国 / 加拿大,"剧情,传记,犯罪",141
42,天空之城 天空の城ラピュタ,宫崎骏,9.2,1012194,1992,日本,"动画,奇幻,冒险",125
43,鬼子来了,姜文,9.3,717732,2000,中国大陆,"剧情,喜剧",139
44,摔跤吧！爸爸 Dangal,涅提·蒂瓦里,9.0,1750686,2017,印度,"剧情,家庭,传记,运动",161
45,少年派的奇幻漂流 Life of Pi,李安,9.1,1493295,2012,美国 / 中国台湾 / 英国 / 加拿大,"剧情,奇幻,冒险",127
46,钢琴家 The Pianist,罗曼·波兰斯基,9.3,752781,2002,英国 / 法国 / 波兰 / 德国 / 美国,"剧情,音乐,传记,战争",149
47,死亡诗社 Dead Poets Society,彼得·威尔,9.2,887706,1989,美国,剧情,128
48,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,9.2,860257,2003,美国 / 新西兰,"剧情,动作,奇幻,冒险",180
49,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,9.0,1369641,2014,中国香港 / 中国大陆,"喜剧,爱情,奇幻,古装",88
50,绿皮书 Green Book,彼得·法雷里,8.9,1899405,2019,美国 / 中国大陆,"剧情,喜剧,音乐,传记",130
51,何以为家 كفرناحوم,娜丁·拉巴基,9.1,1165426,2019,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,剧情,126
52,闻香识女人 Scent of a Woman,马丁·布莱斯特,9.1,1026830,1992,美国,剧情,157
53,大闹天宫,万籁鸣,9.4,511927,1961,中国大陆,"剧情,动画,奇幻,古装",113
54,黑客帝国 The Matrix,"莉莉·沃卓斯基,拉娜·沃卓斯基",9.1,953920,2000,美国,"动作,科幻",136
55,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,9.1,963448,2002,新西兰 / 美国 / 英国,"剧情,动作,奇幻,冒险",179
56,罗马假日 Roman Holiday,威廉·惠勒,9.1,1051259,1953,美国,"剧情,喜剧,爱情",118
57,教父2 The Godfather: Part II,弗朗西斯·福特·科波拉,9.3,642809,1974,美国,"剧情,犯罪",202
58,狮子王 The Lion King,"罗杰·阿勒斯,罗伯·明可夫",9.1,964302,1995,美国,"动画,歌舞,冒险",89
